RIC [X_RIC_NAME], [PRC_QL2],Name [CF_NAME],Last [CF_LAST],Pct.Chng [PCTCHNG],Net.Chng [NETCHNG_1],Quantity [PT_QUANTITY],Price [PT_PRICE],Current Value (USD) [PT_CURRENT_VALUE_BC],Current Value [PT_CURRENT_VALUE],P&L (USD) [PT_PROFIT_LOSS_BC],P&L (%) [PT_PROFIT_LOSS_PERCENT]
/2454.TW,D20,MTK/d,735.0000,-0.2700,-2.0000,3290.7482,737.0000,74975.1992,2418699.9270,-131.8406,-0.1755
/CMCSA.O,D15,COMCAST CORP A/d,44.3400,-1.1592,-0.5200,1059.0607,44.3728,46958.7514,46958.7514,-34.7372,-0.0739
/COST.O,D15,COSTCO WHOLESA/d,564.9600,-0.6454,-3.6700,309.2057,559.7050,174688.8523,174688.8523,1624.8760,0.9389
/FANG.O,D15,DIAMOND BAK EN/d,154.8800,-1.4382,-2.2600,386.8782,157.8300,59919.6956,59919.6956,-1141.2907,-1.8691
/MA,D15,MASTERCARD I O/d,395.9100,-0.8837,-3.5300,347.9606,392.7800,137761.0811,137761.0811,1089.1167,0.7969
/META.O,D15,META PLTFORM O/d,300.2100,-1.2337,-3.7500,214.2160,293.1900,64309.7854,64309.7854,1503.7963,2.3944
/MSFT.O,D15,MICROSOFT CP/d,315.7500,0.6727,2.1100,175.6010,311.7920,55446.0157,55446.0157,695.0288,1.2694
/NVDA.O,D15,NVIDIA CORP/d,434.9900,0.9515,4.1000,434.2981,422.8201,188915.3305,188915.3305,5285.3644,2.8783
/PG,D15,PROCTER & GAMB/d,145.8600,-0.3280,-0.4800,641.4309,147.0400,93559.1111,93559.1111,-756.8885,-0.8025
/SHEL.L,D15,SHELL PLC/d,2606.0000,-2.0480,-54.5000,3450.0000,2633.0000,109682.0446,8990700.0000,-591.3524,-0.5363
Sub Totals (USD),,,,,,,,1006215.8671,,7542.0728,0.7552
Cash (USD),,,,,,,,1330.5203,,,
Totals (USD),,,,,,,,1007546.3874,,7542.0728,0.7552
