RIC [X_RIC_NAME], [PRC_QL2],Name [CF_NAME],Last [CF_LAST],Pct.Chng [PCTCHNG],Net.Chng [NETCHNG_1],Quantity [PT_QUANTITY],Price [PT_PRICE],Current Value (USD) [PT_CURRENT_VALUE_BC],Current Value [PT_CURRENT_VALUE],P&L (USD) [PT_PROFIT_LOSS_BC],P&L (%) [PT_PROFIT_LOSS_PERCENT]
/2454.TW,D20,MTK/d,786.0000,0.0000,0.0000,3290.7482,737.0000,80740.6925,2586528.0852,5633.6527,7.5008
/CMCSA.O,D15,COMCAST CORP A/d,44.4700,0.8619,0.3800,1059.0607,44.3728,47096.4293,47096.4293,102.9407,0.2191
/COST.O,D15,COSTCO WHOLESA/d,562.0900,0.5582,3.1200,309.2057,559.7050,173801.4319,173801.4319,737.4556,0.4261
/MA,D15,MASTERCARD I O/d,400.3700,1.4263,5.6300,347.9606,392.7800,139312.9854,139312.9854,2641.0210,1.9324
/META.O,D15,META PLTFORM O/d,321.8400,1.0931,3.4800,214.2160,293.1900,68943.2774,68943.2774,6137.2884,9.7718
/MSFT.O,D15,MICROSOFT CP/d,328.3900,-0.4336,-1.4300,175.6010,311.7920,57665.6124,57665.6124,2914.6254,5.3234
/NVDA.O,D15,NVIDIA CORP/d,457.9800,1.1596,5.2500,434.2981,422.8201,198899.8438,198899.8438,15269.8778,8.3156
/PG,D15,PROCTER & GAMB/d,144.7800,0.9905,1.4200,641.4309,147.0400,92866.3657,92866.3657,-1449.6338,-1.5370
/STZ,D15,CONSTELLATION /d,237.9000,1.1953,2.8100,239.3548,248.3300,56942.5069,56942.5069,-2496.4706,-4.2001
/AMZN.O,D15,AMAZON COM/d,129.4800,0.9512,1.2200,414.0705,126.7900,53613.8483,53613.8483,1113.8496,2.1216
/TSLA.O,D15,TESLA INC/d,263.6200,1.5212,3.9500,199.5242,260.6200,52598.5696,52598.5696,598.5726,1.1511
Sub Totals (USD),,,,,,,,1022489.1253,,31210.7412,3.1485
Cash (USD),,,,,,,,523.0688,,,
Totals (USD),,,,,,,,1023012.1941,,31210.7412,3.1485
