RIC [X_RIC_NAME], [PRC_QL2],Name [CF_NAME],Last [CF_LAST],Pct.Chng [PCTCHNG],Net.Chng [NETCHNG_1],Quantity [PT_QUANTITY],Price [PT_PRICE],Current Value (USD) [PT_CURRENT_VALUE_BC],Current Value [PT_CURRENT_VALUE],P&L (USD) [PT_PROFIT_LOSS_BC],Holding (%) [PT_HOLDING],P&L (%) [PT_PROFIT_LOSS_PERCENT],Date [CF_DATE]
/META.O,D15,META PLTFORM O/d,304.2901,2.5478,7.5601,303.1195,296.2725,92236.2630,92236.2630,2430.2810,8.76,2.71,30-Oct-2023
/AMZN.O,D15,AMAZON COM/d,132.4600,3.6950,4.7200,839.0705,122.3378,111143.2784,111143.2784,8493.2797,10.55,8.27,30-Oct-2023
/MSFT.O,D15,MICROSOFT CP/d,337.0300,2.1891,7.2200,375.9606,325.2788,126710.0010,126710.0010,4417.9908,12.03,3.61,30-Oct-2023
/2454.TW,D20,MTK/d,857.0000,6.9900,56.0000,3290.7482,737.0000,87152.6069,2820171.2074,12045.5671,8.28,16.04,30-Oct-2023
/NVDA.O,D15,NVIDIA CORP/d,411.2300,1.5383,6.2300,276.5400,405.0000,113721.5442,113721.5442,1722.8442,10.80,1.54,30-Oct-2023
/MCD,D15,MCDONALD'S COR/d,261.9100,2.4046,6.1500,359.7122,255.7600,94212.2223,94212.2223,2212.2300,8.95,2.40,30-Oct-2023
/COST.O,D15,COSTCO WHOLESA/d,553.6550,1.9566,10.6250,211.9834,551.9300,117365.6693,117365.6693,365.6714,11.14,0.31,30-Oct-2023
/TTZ.V,D15,TOTAL TELCOM/d,0.4500,4.6500,0.0200,291999.3780,0.4500,95031.2578,131399.7201,44.6527,9.02,0.05,30-Oct-2023
/CAT,D15,CATERPILLAR IN/d,243.1075,1.9062,4.5475,350.5443,242.4100,85219.9484,85219.9484,244.5046,8.09,0.29,30-Oct-2023
/STZ,D15,CONSTELLATION /d,234.6600,2.1949,5.0400,332.1481,234.8350,77941.8731,77941.8731,-58.1259,7.40,-0.07,30-Oct-2023
Sub Totals (USD),,,,,,,,1000703.6158,,31887.8470,95.02,3.29,
Cash (USD),,,,,,,,52459.0783,,,4.98,,
Totals (USD),,,,,,,,1053162.6941,,31887.8470,100.00,3.29,
