RIC [X_RIC_NAME], [PRC_QL2],Name [CF_NAME],Last [CF_LAST],Pct.Chng [PCTCHNG],Net.Chng [NETCHNG_1],Quantity [PT_QUANTITY],Price [PT_PRICE],Current Value (USD) [PT_CURRENT_VALUE_BC],Current Value [PT_CURRENT_VALUE],P&L (USD) [PT_PROFIT_LOSS_BC],Holding (%) [PT_HOLDING],P&L (%) [PT_PROFIT_LOSS_PERCENT],Date [CF_DATE],Total Dividends [TR.F.TotDiv]
/AMZN.O,D15,AMAZON COM/d,143.2000,-1.7833,-2.6000,839.0705,122.3378,120154.8956,120154.8956,17504.8969,10.35,17.05,15-Nov-2023,
/MSFT.O,D15,MICROSOFT CP/d,369.6700,0.0406,0.1500,375.9606,325.2788,138981.3550,138981.3550,16689.3448,11.98,13.65,15-Nov-2023,
/2454.TW,D20,MTK/d,908.0000,0.0000,0.0000,3290.7482,737.0000,93424.6120,2987999.3656,18317.5722,8.05,24.39,15-Nov-2023,
/NVDA.O,D15,NVIDIA CORP/d,488.8800,-1.5466,-7.6800,276.5400,405.0000,135194.8752,135194.8752,23196.1752,11.65,20.71,15-Nov-2023,
/COST.O,D15,COSTCO WHOLESA/d,596.7800,1.0122,5.9800,211.9834,551.9300,126507.4535,126507.4535,9507.4555,10.90,8.13,15-Nov-2023,
/CSU.TO,D15,CONSTELLTION S/d,3125.3300,2.3400,71.4600,63.8808,2777.9992,145915.2791,199648.5807,18107.7110,12.57,14.17,15-Nov-2023,
/K,D15,KELLANOVA ORD/d,52.3000,-0.5325,-0.2800,1554.9076,51.4500,81321.6675,81321.6675,1321.6715,7.01,1.65,15-Nov-2023,
/META.O,D15,META PLTFORM O/d,332.7100,-1.0704,-3.6000,297.3861,319.4500,98943.3293,98943.3293,3943.3397,8.53,4.15,15-Nov-2023,
Sub Totals (USD),,,,,,,,940438.1352,,108582.8348,81.04,13.05,,
Cash (USD),,,,,,,,219966.5112,,,18.96,,,
Totals (USD),,,,,,,,1160404.6464,,108582.8348,100.00,13.05,,
