RIC [X_RIC_NAME], [PRC_QL2],Name [CF_NAME],Last [CF_LAST],Pct.Chng [PCTCHNG],Net.Chng [NETCHNG_1],Quantity [PT_QUANTITY],Price [PT_PRICE],Current Value (USD) [PT_CURRENT_VALUE_BC],Current Value [PT_CURRENT_VALUE],P&L (USD) [PT_PROFIT_LOSS_BC],Holding (%) [PT_HOLDING],P&L (%) [PT_PROFIT_LOSS_PERCENT],Date [CF_DATE],Price Close [TR.PriceClose]
/AMZN.O,D15,AMAZON COM/d,148.7020,1.3371,1.9620,839.0705,122.3378,124771.4615,124771.4615,22121.4628,10.63,21.55,27-Nov-2023,146.74
/MSFT.O,D15,MICROSOFT CP/d,379.7400,0.6120,2.3100,375.9606,325.2788,142767.2782,142767.2782,20475.2680,12.17,16.74,27-Nov-2023,377.43
/2454.TW,D20,MTK/d,931.0000,-1.4800,-14.0000,3290.7482,737.0000,97093.4453,3063686.5742,21986.4055,8.27,29.27,27-Nov-2023,931.00
/NVDA.O,D15,NVIDIA CORP/d,481.1550,0.7106,3.3950,276.5400,405.0000,133058.6037,133058.6037,21059.9037,11.34,18.80,27-Nov-2023,477.76
/CSU.TO,D15,CONSTELLTION S/d,3207.2000,0.7793,24.8000,63.8808,2777.9992,150198.6744,204878.5018,22391.1063,12.80,17.52,27-Nov-2023,3182.40
/K,D15,KELLANOVA ORD/d,52.5200,-1.7767,-0.9500,1554.9076,51.4500,81663.7472,81663.7472,1663.7511,6.96,2.08,27-Nov-2023,53.47
/META.O,D15,META PLTFORM O/d,339.5800,0.3991,1.3500,297.3861,319.4500,100986.3718,100986.3718,5986.3822,8.61,6.30,27-Nov-2023,338.23
MSFTW242335000.U,,,,,,375.9606,0.0100,,,,,,,
Sub Totals (USD),,,,,,,,830573.7317,,115718.4292,70.79,16.19,,
Cash (USD),,,,,,,,342824.0906,,,29.22,,,
Totals (USD),,,,,,,,1173397.8223,,115718.4292,100.00,16.19,,
